縣市,使照序號,公寓大廈名稱,行政區,地址,戶數,管理組織型態,建物型態,重劃區標記,資料來源
嘉義市,,三閎富貴管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,蘭潭DC-C棟公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,生活新都心大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,東門水利公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉興采邑公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,凱雲大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,客臨雅舍--富貴區管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,興嘉溫莎堡大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,東隆國堡大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,快樂家易公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,宮廷世家大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,凱旋門公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,現代陶淵明社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,景祥華廈住戶管理委員會,未標註,,0,,華廈,,前次彙整(2026-08)
嘉義市,,嘉義市世賢新都公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘭潭DC-A棟管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,嘉義市詩苑尊邸管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,中山尊龍公寓大廈管理委員會,未標註,,0,,大樓,中山,前次彙整(2026-08)
嘉義市,,泛國翡翠管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,真善美大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,加揚中正大樓管理委員會,未標註,,0,,大樓,中正,前次彙整(2026-08)
嘉義市,,哈佛清境公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,經濟大國管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,瑞滿堂大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,藝術第一家大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,國華大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,金石金城新榮路管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,博愛星鑽公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,高杰皇嘉花園廣場公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市蘭潭新境翠園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,觀天廈大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,東隆王朝大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,友愛大第管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,好旺角大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,興嘉馨境社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,林園豪景管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,友愛新象管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,羅浮宮大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,大統名門第三期管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,凱悅麗晶公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,陽光花園公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,財神帝王大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,大統名門大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,凱旋大地大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,綠波庭公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,金石金城大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,長堤市大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,世賢芳鄰吉祥區管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,世賢芳鄰如意區管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,世賢芳鄰富貴區管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,忠孝大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,富泰花園特區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,嘉義市中山翡翠公寓大廈管理委員會,未標註,,0,,大樓,中山,前次彙整(2026-08)
嘉義市,,金慶花園大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,頂峰天廈管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,嘉義市東區集賢樓管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,名人儷景天下公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,南京大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,三貴甲天下管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,嘉義市歐洲宮廷公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,都會精典管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,嘉義市陽明山莊社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,南京天下公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市東坡居公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,仰喆社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,嘉義市順利世家公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市大園道公寓大廈管理委員會,未標註,,0,,大樓,大園,前次彙整(2026-08)
嘉義市,,蘭潭DC-I棟管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,三閎麗園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,博愛宮庭公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,溫莎小園大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,萊茵城堡社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,永鎮嘉義國宅公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,文化大亨大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,長榮富第管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,中山尊王大樓管理委員會,未標註,,0,,大樓,中山,前次彙整(2026-08)
嘉義市,,嘉義市公園綠庭公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉年華大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市小巨人管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,大都會公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,彩虹大道公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,崇文天下公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘭潭DC-D棟大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市華馨公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市東洋社區凡爾賽公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,花開富貴大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,凱旋大地2公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,國際富都公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,愛麗思公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市漢唐天下管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,三貴錦繡F棟管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,帝國大廈公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,雅緻園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,垂楊大第管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,藝術宮廷公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,文化翠庭管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,嘉義市曼哈頓公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,大品樺園公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,東區藝術明園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,嘉義甜心管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,蘭潭新境麗園大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,文化世家大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,公爵園邸社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,東隆綠大地公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,民生華夏管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,長億花園廣場社區管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉南永春大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,順利雙星堡公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,宏都阿波羅大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,宏都世紀花園廣場管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,宏都宏都社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,東方之珠公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,伯爵天下管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,摩天芳鄰大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,亞帥管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,現代生活公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,民生桂冠公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,金玉山公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,南京一品管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,新民小鎮管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,綠芙園公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,權威天廈公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,自由頌公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市窗外有藍天公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義國寶公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,弘嘉綠世界管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,陽光花園廣場公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義大高巢社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,世賢嘉天廈管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,永鎮快樂國宅公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,全華名城公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,藝術王國公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,健康宏都大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,喬國花園廣場公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,興業大樓公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,博愛特區管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,歐鄉玫瑰別墅管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,帝王花園廣場管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,新內閣公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,民生特區公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,真愛管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,蘭潭DC-H棟公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,東隆上市公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,香詩麗苑公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,集市多管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,大學堡管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,臥雲大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,客臨雅舍--吉祥區管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,世賢居公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,羅浮宮大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,圓山寶大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,中正公園新廈管理委員會,未標註,,0,,社區,中正,前次彙整(2026-08)
嘉義市,,藝術雅舍社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,典藏家公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,港坪市場大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,老爺皇家廣場公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,崇文天下辦公大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,亞洲書香苑公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘇杭鳴園管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,大禮原石公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,震大美墅公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,中正公園廣場大廈管理委員會,未標註,,0,,大樓,中正,前次彙整(2026-08)
嘉義市,,長宏殿夏管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,嘉義市滿堂采社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,第一英郡大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,大家門第住戶管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,漢家御庭大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蘭潭DC社區J棟管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,桃源映像大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,民生首都大樓公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,玉山明珠第三期管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,友愛公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,蟠龍名廈管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,壺仙玉璽管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,東區綠郡管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,中央新都心大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市精忠新城管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,時代財經廣場管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,桃源新境社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,林森大墅社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,玉山明珠第一期大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,龍客公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,天下文化大國管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,鼎雲大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,自由新都管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,震群清庭社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,林園學府社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,啟德大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,南帝王大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,羅曼第公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,遠東花園廣場管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,棕梠泉社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,文化大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,波羅蜜山莊管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,荷蘭市社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,金石文化花園別墅管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,知音少管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,圓滿管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,喜多郎第二期管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,無為管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,御墅品管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,萬帥江山管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,大業大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,林園尊邸社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,尊峰集合式住宅管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,經國新城B社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城F1社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城F2社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城F3社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城H社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城J社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城L社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城M社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城P2社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城P3社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城R社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城P1社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城U社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,西市場大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,權威名門社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,城市臻品管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,泰瑞嘉天廈公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,嘉義市經國新城G社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,金石學府花園別墅社區,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,忠孝國宅社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,玉山名園公寓社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,里仁為美NO2社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,嘉義市富貴新宿社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,藝墅心境社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,復國新城公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,貴族花鄉管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,和興國宅社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,公園城大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,經國新城D社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城C社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,經國新城K社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,林園帝國管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,閒情逸墅社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,豪門貴族大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,想望之旅社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,金鑽社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,綠蜻蜓社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,左岸風尚社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,泛國經典2期管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,濱湖園大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,生活家大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,左岸風尚摩卡社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,誠品逸墅透天住宅管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,僑平芳鄰公寓大廈管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
嘉義市,,都會別墅管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,金石皇家帝國管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,禪風雅筑管理委員會,未標註,,0,,其他,,前次彙整(2026-08)
嘉義市,,優雅LaVie社區管理委員會,未標註,,0,,社區,,前次彙整(2026-08)
嘉義市,,和風居大樓管理委員會,未標註,,0,,大樓,,前次彙整(2026-08)
